LegacyID,UID,Name,Family,Type,NeutralCitationForm,TemporalRanges,IsActive,Rank,Grouping,FoundingLaw,Notes
EWCA-Civil,EWCA-Civil,Court of Appeal (Civil Division),Court of Appeal,Court,[year] EWCA Civ #,,TRUE,2,,Supreme Court of Judicature Act 1873,
EWCA-Criminal,EWCA-Criminal,Court of Appeal (Criminal Division),Court of Appeal,Court,[year] EWCA Crim #,,TRUE,2,,Supreme Court of Judicature Act 1873,
UKSC,UKSC,United Kingdom Supreme Court,United Kingdom Supreme Court,Court,[year] UKSC #,,TRUE,1,,Constitutional Reform Act 2005,
-,UKHL,Appellate Committee of the House of Lords,Appellate Committee of the House of Lords,Court,[year] UKHL #,,FALSE,1,,Appelate Jurisdiction Act 1867,
UKPC,UKPC,Judicial Committee of the Privy Council,Judicial Committee of the Privy Council,Court,[year] UKPC #,,TRUE,1,,Judicial Committee Act 1833,
EWHC-QBD-TCC,EWHC-TCC,Technology and Construction Court,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (TCC),,TRUE,3,,,
EWHC-QBD-Commercial,EWHC-Comm,Commercial Court,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (Comm),,TRUE,3,,,
-,EWHC-DC,Divisional Court ,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (Admin),,TRUE,2.5?,,,"Having a hard time figuring out how to rank the Divisional Court. Appeals lie to the Court of Appeal, so in this way it’s the same as any other constitution of the High Court. But it is arguably superior to a standard sitting of the High Court because of it appellate capacity. "
EWHC-QBD-Admin,EWHC-Admin,Administrative Court,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (Admin),,TRUE,3,,,"This is a weird case. The Adminstrative Court sits with a single judge. The Administrative Court can also sit as a Divisional Court. A single neutral citation pattern applies to both. The main difference is that a Divisional Court hears ""appeals by way of case stated"" from the Crown Court (a special appellate procedure) and more significant cases that would otherwise have been heard by a judge sitting alone in the Administrative Court. As a rule, the Divisional Court sits with one Lord Justice and a normal High Court justice. Really, the LC should be thinking about giving Divisional Court judgments their own neutral citation patter (e.g. [year] EWHC # (DC)"
EWHC-QBD,EWHC-QB,Queen's Bench Division,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (QB),"(~, 1901), (1952, 2022)",FALSE,3,,,
EWHC-Mercantile,EWHC-Mercantile,Mercantile Court,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (Merc),,TRUE,3,,,
EWHC-QBD-Admiralty,EWHC-Admiralty,Admiralty Court,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (Admlty),,TRUE,3,,,
EWHC-KBD,EWHC-KB,King's Bench Division,King's/Queen's Bench Division of the High Court,Court,[year] EWHC # (KB),"(1901, 1952), (2022, ~)",TRUE,3,,,
EWHC-QBD-Chancery,EWHC-Chancery,Chancery Division,Chancery Division of the High Court,Court,[year] EWHC # (Ch),,TRUE,3,,,
EWHC-Family,EWHC-Fam,Family Division,Family Division of the High Court,Court,[year] EWHC # (Fam),,TRUE,3,,,
EWCOP,EWCOP,Court of Protection,Court of Protection,Court,[year] EWCOP #,,TRUE,3,,,
EWFC,EWFC,Family Court ,Family Court,Court,[year] EWFC #,,TRUE,3,,,"There is the thorny issue of where the Family Court sits with a judge ranked lower than High Court judge (e.g. a district judge). In this situation, the rank of the call is lower because an appeal will lie to a High Court judge rather than the Court of Appeal. BAILII maintains a split here, which I think is the correct way to go."
EWHC-SeniorCourtsCosts,EWHC-SeniorCourtsCosts,Senior Courts Cost Office,Senior Courts,Court,[year] EWHC # (SCCO),,TRUE,3,,,
EWHC-Chancery-IPEC,EWHC-IPEC,Intellectual Property and Enterprise Court,Intellectual Property and Enterprise Court,Court,[year] EWHC # (IPEC),,TRUE,3,,,
EWHC-Chancery-Patents,EWHC-Patents,Patents Court,Patents Court,Court,[year] EWHC # (Pat),,TRUE,3,,,
UKUT-IAC,UKUT-IAC,Upper Tribunal (Immigration and Asylum Chamber),Upper Tribunal,Tribunal,[year] UKUT # (IAT),,TRUE,3,,,
UKUT-LC,UKUT-LC,Upper Tribunal (Lands Chamber),Upper Tribunal,Tribunal,[year] UKUT # (LC),,TRUE,3,,,
UKUT-TCC,UKUT-TCC,Upper Tribunal (Tax and Chancery Chamber),Upper Tribunal,Tribunal,[year] UKUT # (TCC),,TRUE,3,,,
UKUT-AAC,UKUT-AAC,Upper Tribunal (Administrative Appeals Chamber),Upper Tribunal,Tribunal,[year] UKUT # (AAC),,TRUE,3,,,
EAT,EAT,Employment Appeal Tribunal,Employment Appeal Tribunal,Tribunal,[year] EAT #,,TRUE,3,,,
UKFTT-TC,UKFTT-TC,First-tier Tribunal (Tax Chamber),First-tier Tribunal,Tribunal,[year] UKFTT # (TC),,TRUE,4,,,
UKFTT-GRC,UKFTT-GRC,First-tier Tribunal (General Regulatory Chamber),First-tier Tribunal,Tribunal,[year] UKFTT # (GRC),,TRUE,4,,,
